Barbier,George,George Barbier,Yes,erra,Yes,x,"art deco, art nouveau",1932,,,,,
Barker,Cicely Mary,Cicely Mary Barker,Yes,erra,Yes,x,"fantasy, whimsical, character",1973,,,,,
Barker,Clive,Clive Barker,Yes,erra,Yes,x,"expressionism, pop art, abstract",N/A,,,,,
Barks,Carl,Carl Barks,Yes,erra,Yes,x,"cartoon,",2000,,,,,
Barlach,Ernst,Ernst Barlach,Yes,erra,Yes,x,"realism, expressionism, monochromatic, art nouveau",1938,,,,,
Barlow,Phyllida,Phyllida Barlow,Yes,erra,Yes,x,"sculpture, installation, expressionism",N/A,,,,,
Barlowe,Wayne,Wayne Barlowe,Yes,erra,Yes,x,"sci-fi, fantasy, dark,",N/A,,,,,
Barnes,Ernie,Ernie Barnes,Yes,erra,Yes,x,"melanin, scene, expressionism",2009,,,,,
Barnet,Will,Will Barnet,Yes,erra,Yes,x,"high contrast, scene",2012,,,,,
Barney,Matthew,Matthew Barney,Yes,erra,Yes,x,"photography, surrealism, sculpture",N/A,,,,,
Barns-Graham,Wilhelmina,Wilhelmina Barns-Graham,Yes,erra,Yes,x,abstract,2004,,,,,
Barrett,Angela,Angela Barrett,Yes,erra,Yes,x,"children's illustration, scene",N/A,,,,,
Barry,Lynda,Lynda Barry,Yes,erra,Yes,x,"cartoon, messy",N/A,,,,,
Barson,Paul,Paul Barson,Yes,erra,Yes,x,"dark, photography",N/A,,,,,
Bartlett,Bo,Bo Bartlett,Yes,erra,Yes,x,"realism, scene, clean",N/A,,,,,
Basch,Peter,Peter Basch,Yes,erra,Yes,x,"photography, monochromatic, figurativism",2004,,,,,
Baselitz,Georg,Georg Baselitz,Yes,erra,Yes,x,"messy, expressionism, figurativism",N/A,,,,,
Baseman,Gary,Gary Baseman,Yes,erra,Yes,x,"pop art, surrealism, cartoon",N/A,,,,,
Basquiat,Jean-Michel,Jean-Michel Basquiat,Yes,erra,Yes,x,"expressionism, messy",1988,,,,,
Bassano,Jacopo,Jacopo Bassano,Yes,sureai,Yes,x,"renaissance, scene",1592,,,,,
Basse,Willem,Willem Basse,Yes,sureai,Yes,x,romanticism,1653,,,,,
Bassman,Lillian,Lillian Bassman,Yes,sureai,Yes,x,"photography, monochromatic, fashion, portrait, character",2012,,,,,
Bastien-Lepage,Jules,Jules Bastien-Lepage,Yes,sureai,Yes,x,"realism, impressionism",1884,,,,,
Bateman,Robert,Robert Bateman,Yes,sureai,Yes,x,"animals, nature, realism",N/A,,,,,
Bates,David,David Bates,Yes,sureai,Yes,x,"high contrast, landscape",1921,,,,,
Batho,John,John Batho,Yes,sureai,Yes,x,"photography, abstract, monochromatic, high contrast",N/A,,,,,
Batoni,Pompeo,Pompeo Batoni,Yes,sureai,Yes,x,"baroque, portrait, scene",1787,,,,,
Bauer,John,John Bauer,Yes,sureai,Yes,x,"whimsical, watercolor,",1918,,,,,
Baugh,Casey,Casey Baugh,Yes,sureai,Yes,x,"portrait, expressionism, realism",N/A,,,,,
Baumann,Gustave,Gustave Baumann,Yes,sureai,Yes,x,"realism, landscape, nature",1971,,,,,
Baumeister,Willi,Willi Baumeister,Yes,sureai,Yes,x,abstract,1955,,,,,
Bawden,Edward,Edward Bawden,Yes,sureai,Yes,x,"watercolor, landscape, cityscape",1989,,,,,
Bayer,Herbert,Herbert Bayer,Yes,sureai,Yes,x,"graphic design, colorful, vibrant, bauhaus",1985,,,,,
Bazille,Frederic,Frederic Bazille,Yes,sureai,Yes,x,"impressionism, scene, still life",1870,,,,,
Beal,Gifford,Gifford Beal,Yes,sureai,Yes,x,impressionism,1956,,,,,
Beale,Mary,Mary Beale,Yes,sureai,Yes,x,"portrait, realism, baroque",1699,,,,,
Bean,Alan,Alan Bean,Yes,sureai,Yes,x,"space, personality, sci-fi",2018,,,,,
Bearden,Romare,Romare Bearden,Yes,sureai,Yes,x,"realism, cubism, vibrant, expressionism, melanin",1988,,,,,
Beardsley,Aubrey,Aubrey Beardsley,Yes,sureai,Yes,x,"high contrast, art nouveau",1898,,,,,
Beaton,Cecil,Cecil Beaton,Yes,sureai,Yes,x,"photography, portrait, monochromatic, fashion",1980,,,,,
Beaton,Kate,Kate Beaton,Yes,sureai,Yes,x,"comics, cartoon",N/A,,,,,
Beauvarlet,Jacques-Firmin,Jacques-Firmin Beauvarlet,Yes,sureai,Yes,x,romanticism,1797,,,,,
Beaux,Cecilia,Cecilia Beaux,Yes,sureai,Yes,x,"impressionism, portrait",1942,,,,,
Bechdel,Alison,Alison Bechdel,Yes,sureai,Yes,x,"comics, cartoon",N/A,,,,,
Becket-Griffith,Jasmine,Jasmine Becket-Griffith,Yes,sureai,Yes,x,"fantasy, portrait, whimsical, vibrant",N/A,,,,,
Beckmann,Max,Max Beckmann,Yes,sureai,Yes,x,"high contrast, expressionism",1950,,,,,
Beecroft,Vanessa,Vanessa Beecroft,Yes,sureai,Yes,x,"nudity, character, portrait, photography",N/A,,,,,
Beeple,N/A,Beeple,Yes,sureai,Yes,x,"digital, pink",N/A,,,,,
Beksiński,Zdzisław,Zdzisław Beksiński,Yes,sureai,Yes,x,"surrealism, dark, horror,",2005,Produces slightly different effect without diacritics (in DD),,,,
Bell,Julie,Julie Bell,Yes,sureai,Yes,x,"fantasy, nature, dragons",N/A,,,,,
Bell,Vanessa,Vanessa Bell,Yes,sureai,Yes,x,"fauvism, portrait",1961,,,,,
Bellmer,Hans,Hans Bellmer,Yes,sureai,Yes,x,"photography, dark, surrealism",1975,,,,,
Bellotto,Bernardo,Bernardo Bellotto,Yes,sureai,Yes,x,"landscape, cityscape, architecture",1780,,,,,
Bellows,George,George Bellows,Yes,sureai,Yes,x,"realism, impressionism",1925,,,,,
Benglis,Lynda,Lynda Benglis,Yes,sureai,Yes,x,"sculpture, installation, colorful, abstract",N/A,,,,,
Benjamin-Constant,Jean-Joseph,Jean-Joseph Benjamin-Constant,Yes,sureai,Yes,x,"romanticism, scene, character",1902,,,,,
Benois,Albert,Albert Benois,Yes,sureai,Yes,x,"landscape, watercolor, romanticism",1936,,,,,
Benois,Alexandre,Alexandre Benois,Yes,sureai,Yes,x,"scene, landscape, watercolor",1960,,,,,
Benson,Ambrosius,Ambrosius Benson,Yes,sureai,Yes,x,"renaissance, portrait, scene",1550,,,,,
Benson,Frank Weston,Frank Weston Benson,Yes,sureai,Yes,x,"impressionism, scene",1951,,,,,
Benton,Thomas Hart,Thomas Hart Benton,Yes,sureai,Yes,x,"realism, scene",1975,,,,,
Berenstain,Stan,Stan Berenstain,Yes,sureai,No,x,"children's illustration, cartoon",2005,,,,,
Bergh,Richard,Richard Bergh,Yes,sureai,Yes,x,"landscape, portrait, romanticism",1919,,,,,
Bergland,Don,Don Bergland,Yes,sureai,Yes,x,surrealism,N/A,,,,,
Bergsma,Jody,Jody Bergsma,Yes,sureai,Yes,x,"watercolor, fantasy, detailed, whimsical",N/A,,,,,
Berkey,John,John Berkey,Yes,sureai,Yes,x,"fantasy, space, sci-fi",2008,,,,,
Bernard,Émile,Émile Bernard,Yes,sureai,Yes,x,"impressionism, scene",1941,,,,,
Bernhard,Ruth,Ruth Bernhard,Yes,sureai,Yes,x,"monochromatic, photography, nudity",2006,,,,,
Bernini,Gian Lorenzo,Gian Lorenzo Bernini,Yes,sureai,Yes,x,"baroque, sculpture",1680,,,,,
Bertoia,Harry,Harry Bertoia,Yes,sureai,Yes,x,"sculpture, texture",1978,,,,,
Beskow,Elsa,Elsa Beskow,Yes,sureai,Yes,x,"whimsical, art nouveau",N/A,,,,,
Beuckelaer,Joachim,Joachim Beuckelaer,Yes,sureai,Yes,x,"scene, still life",1574,,,,,
Beuys,Joseph,Joseph Beuys,Yes,sureai,Yes,x,"abstract, figurativism, photography, monochromatic",1986,,,,,
Bevacqua,Marta,Marta Bevacqua,Yes,sureai,Yes,x,"photography, portrait, scene",N/A,,,,,
Bianchi,Simone,Simone Bianchi,Yes,sureai,No,x,comics,N/A,CLIP recognition is weak,,,,
Biasi,Alberto,Alberto Biasi,Yes,sureai,No,x,"abstract, angular",N/A,,,,,
Bierstadt,Albert,Albert Bierstadt,Yes,sureai,Yes,x,"landscape, romanticism",1902,,,,,
Biggers,John T.,John T. Biggers,Yes,sureai,Yes,x,"melanin, abstract, symbolism, vibrant",2001,,,,,
Bilal,Enki,Enki Bilal,Yes,sureai,Yes,x,"detailed, sci-fi, comics",N/A,,,,,
Bilibin,Ivan,Ivan Bilibin,Yes,sureai,Yes,x,"art nouveau,",1942,,,,,
Billingham,Richard,Richard Billingham,Yes,sureai,Yes,x,"photography, scene",N/A,,,,,
Billout,Guy,Guy Billout,No,sureai,Yes,x,"clean, surrealism",N/A,,,,,
Billy,Butcher,Butcher Billy,Yes,sureai,Yes,x,"graphic design, pop art, vibrant",N/A,,,,,
Bing,Ilse,Ilse Bing,Yes,sureai,Yes,x,"photography, monochromatic",1998,,,,,
Bing,Xu,Xu Bing,No,sureai,Yes,x,installation,N/A,,,,,
Bingham,George Caleb,George Caleb Bingham,Yes,sureai,Yes,x,"luminism, scene",1879,,,,,
Binkley,Ed,Ed Binkley,Yes,sureai,Yes,x,"fantasy,",N/A,,,,,
Birch,Simon,Simon Birch,Yes,sureai,Yes,x,"figurativism, messy, portrait",N/A,,,,,
Birch,Thomas,Thomas Birch,Yes,sureai,Yes,x,"romanticism, seascape, landscape",1766,,,,,
Birrell,George,George Birrell,Yes,sureai,Yes,x,"cityscape, vibrant",N/A,,,,,
Bisley,Simon,Simon Bisley,Yes,sureai,Yes,x,"comics, dark, detailed",N/A,,,,,
Bissell,Robert,Robert Bissell,Yes,sureai,Yes,x,"animals, surrealism, nature, whimsical, children's illustration",N/A,,,,,
Blacklock,William Kay,William Kay Blacklock,Yes,sureai,Yes,x,"watercolor, landscape, scene",1924,,,,,
Blackman,Charles,Charles Blackman,Yes,sureai,Yes,x,"scene, vibrant, high contrast",2018,,,,,
Blackmon,Julie,Julie Blackmon,Yes,sureai,Yes,x,"scene, photography",N/A,,,,,
Blackshear,Thomas,Thomas Blackshear,Yes,sureai,Yes,x,"melanin, character, scene",N/A,,,,,
Blackwood,Algernon,Algernon Blackwood,Yes,sureai,Yes,x,"personality, dark",1951,,,,,
Blair,Mary,Mary Blair,Yes,sureai,Yes,x,"whimsical, high contrast, vibrant",1978,,,,,
Blake,Peter,Peter Blake,Yes,sureai,Yes,x,"pop art, collage",N/A,,,,,
Blake,Quentin,Quentin Blake,Yes,sureai,Yes,x,"whimsical, watercolor",N/A,,,,,
Blake,William,William Blake,Yes,sureai,Yes,x,"romanticism, dark, scene",1827,,,,,
Blakelock,Ralph,Ralph Blakelock,Yes,sureai,Yes,x,"romanticism, landscape",1919,,,,,
Blanchard,Antoine,Antoine Blanchard,Yes,sureai,Yes,x,"impressionism, streetscape",1988,,,,,
Blanche,John,John Blanche,Yes,sureai,Yes,x,"fantasy, detailed, sci-fi",N/A,,,,,
Blanding,Don,Don Blanding,Yes,sureai,Yes,x,"art deco, high contrast",1957,,,,,
Bleda,Elsa,Elsa Bleda,Yes,erra,Yes,x,"photography, dark, digital, streetscape",N/A,,,,,
Blish,Carolyn,Carolyn Blish,Yes,erra,Yes,x,"scene, landscape, watercolor",N/A,,,,,
Blossfeldt,Karl,Karl Blossfeldt,Yes,erra,Yes,x,"monochromatic, photography",1932,,,,,
Bluhm,Norman,Norman Bluhm,Yes,erra,Yes,x,"abstract, expressionism, messy",1999,,,,,
Blumenfeld,Erwin,Erwin Blumenfeld,Yes,erra,Yes,x,"photography, monochromatic, collage",1969,,,,,
Bluth,Don,Don Bluth,Yes,erra,Yes,x,"clean, cartoon, whimsical, colorful",N/A,,,,,
